galleryImageId,productId,variantId,colorVariantId,imageUrl,imageSource,productName,categoryId,categoryName,brandId,brandName,gender,color,price,finalPrice,isActive,availableQuantity
b33b4457d177bfc9f2617daf:product_image,b33b4457d177bfc9f2617daf,,,https://buggy.yodycdn.com/images/product/990bb820045dba7443a441ded265b52d.webp,product_image,Áo Polo Nữ Modal Phối Kẻ,69b494f8475f3a2bdd735e6a,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,female,,99000,99000,true,480
b33b4457d177bfc9f2617daf:8666a67dc963e4e8fdfd5e9e:51ba6719d68fc7f84683938f,b33b4457d177bfc9f2617daf,8666a67dc963e4e8fdfd5e9e,51ba6719d68fc7f84683938f,https://buggy.yodycdn.com/images/product/990bb820045dba7443a441ded265b52d.webp,color_variant_image,Áo Polo Nữ Modal Phối Kẻ,69b494f8475f3a2bdd735e6a,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,female,Navy,99000,99000,true,160
b33b4457d177bfc9f2617daf:8666a67dc963e4e8fdfd5e9e:05c7c7062518817c7fb4a84a,b33b4457d177bfc9f2617daf,8666a67dc963e4e8fdfd5e9e,05c7c7062518817c7fb4a84a,https://buggy.yodycdn.com/images/product/d66dc3646fcd053169f728c4fd9139b5.webp,color_variant_image,Áo Polo Nữ Modal Phối Kẻ,69b494f8475f3a2bdd735e6a,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,female,Nâu,99000,99000,true,160
b33b4457d177bfc9f2617daf:8666a67dc963e4e8fdfd5e9e:8a8777afa30f23dee5850e73,b33b4457d177bfc9f2617daf,8666a67dc963e4e8fdfd5e9e,8a8777afa30f23dee5850e73,https://buggy.yodycdn.com/images/product/8420c17c9c808bf6e11e4c55ec3001fd.webp,color_variant_image,Áo Polo Nữ Modal Phối Kẻ,69b494f8475f3a2bdd735e6a,Áo polo,a6c66b8d301ac0218dbc24e0,YODY,female,Xanh Lá,99000,99000,true,160
e9f86f8c63e8bc17b63394e8:product_image,e9f86f8c63e8bc17b63394e8,,,https://buggy.yodycdn.com/images/product/5f859c44010de0a1376a0f9a549c0e7f.webp,product_image,Áo len nam bộ gia đình cổ tròn,f108dfbbbfd1ca0f13e69624,Áo len,a6c66b8d301ac0218dbc24e0,YODY,male,,369000,369000,true,640
e9f86f8c63e8bc17b63394e8:4e7e0fb705b80778c83dbd7b:cc144bac7692f60d9b50c32a,e9f86f8c63e8bc17b63394e8,4e7e0fb705b80778c83dbd7b,cc144bac7692f60d9b50c32a,https://buggy.yodycdn.com/images/product/5f859c44010de0a1376a0f9a549c0e7f.webp,color_variant_image,Áo len nam bộ gia đình cổ tròn,f108dfbbbfd1ca0f13e69624,Áo len,a6c66b8d301ac0218dbc24e0,YODY,male,Đen,369000,369000,true,160
e9f86f8c63e8bc17b63394e8:4e7e0fb705b80778c83dbd7b:a9d7f32ec4b8c0c94867eaf3,e9f86f8c63e8bc17b63394e8,4e7e0fb705b80778c83dbd7b,a9d7f32ec4b8c0c94867eaf3,https://buggy.yodycdn.com/images/product/f1fcd879839d1c8f7ca139eb6aa4479a.webp,color_variant_image,Áo len nam bộ gia đình cổ tròn,f108dfbbbfd1ca0f13e69624,Áo len,a6c66b8d301ac0218dbc24e0,YODY,male,Tàn,369000,369000,true,160
e9f86f8c63e8bc17b63394e8:4e7e0fb705b80778c83dbd7b:01e1f2db24c99ca4627ef6a4,e9f86f8c63e8bc17b63394e8,4e7e0fb705b80778c83dbd7b,01e1f2db24c99ca4627ef6a4,https://buggy.yodycdn.com/images/product/ef4220d6aeab620ec97b99e9bc21b9b9.webp,color_variant_image,Áo len nam bộ gia đình cổ tròn,f108dfbbbfd1ca0f13e69624,Áo len,a6c66b8d301ac0218dbc24e0,YODY,male,Nâu,369000,369000,true,160
e9f86f8c63e8bc17b63394e8:4e7e0fb705b80778c83dbd7b:a82679cef5378f125490f146,e9f86f8c63e8bc17b63394e8,4e7e0fb705b80778c83dbd7b,a82679cef5378f125490f146,https://buggy.yodycdn.com/images/product/e03de45ef14d43955ac5f8b30aa248ff.webp,color_variant_image,Áo len nam bộ gia đình cổ tròn,f108dfbbbfd1ca0f13e69624,Áo len,a6c66b8d301ac0218dbc24e0,YODY,male,Navy,369000,369000,true,160
ecc96b7d12b9ee473fea88f5:product_image,ecc96b7d12b9ee473fea88f5,,,https://buggy.yodycdn.com/images/product/fbf89b0842954dc1ff106286776d0544.webp,product_image,Giày Thể Thao Nam Phối Màu Năng Động,d474e86f5750a85895a4a64d,Giày thể thao,a6c66b8d301ac0218dbc24e0,YODY,male,,49000,39200,true,479
